"Nome da instituição/unidade";"Tipo de Logradouro";"Nome do Logradouro";"Número no Logradouro";"Complemento";"Bairro";"CEP";"Estado";"Municipio";"Latitude";"Longitude";"Telefone 1";"Telefone 2";"E-mail ";"Público atendido pela instituição";"A instituição atende algum outro público específico?";"Qual?";"Sexo do público atendido";"Modalidade de internação";;
"Clínica Terapêutica Restauração";"Rua";"José Pereira Bezerra";823;;"Nossa Senhora da Conceição";"57000-360";"Alagoas";"Girau do Ponciano - Alagoas";"-9,8787889049";"-36,8220757795";"(82) 9925-0677";"(82) 9622-4222";"clinica-restauracao@bol.com.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária - Involuntária";;
"Monte Santo";"Sítio";"Canto";"s/n";"km - 20 - Aldeia dos Indios - Cocal";"zona rural";"57980-970";"Alagoas";"Joaquim Gomes - Alagoas";"-9,1193106993";"-35,7397115302";"(82) 8878-8808";;;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Monte das Oliveira - Centro de Recuperação Crack nem pensar";"Setor";"Princesinha";"s/n";;"Jacarecica";"57000-000";"Alagoas";"Maceió - Alagoas";"-9,6700545314";"-35,7348305848";"(82) 9937-6363";;"joaozinho_recuperando07@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Crack Nem Pensar";"Rua";"Santa Isabel";346;;"jacintinho";"57040-390";"Alagoas";"Maceió - Alagoas";"-9,6446291101";"-35,7208654779";"(82) 8825-2001";"(82) 8833-1882";"alexcosta1913@hotmail.com";;;;;;;
"Fundação João Paulo II de Maceió - CT Casa Dom Bosco";"Avenida";"Jorge Montenegro de Barros";4000;;"Tabuleiro dos Martins";"57000-050";"Alagoas";"Maceió - Alagoas";"-9,5769282947";"-35,7713339227";"(82) 3314-1408";"(82) 8827-7254";"casadombosco@domboscoalagoas.com.br";"Crianças - Adolescentes";"Não";;"Masculino";"Voluntária";;
"Associação Bom Pastor - Comunidade Catolica Renascer";"Rua";"Alfredo Lins do Nascimento";"s/n";;"Tabuleiros dos Martins";"57081-164";"Alagoas";"Maceió - Alagoas";"-9,6700545314";"-35,7458169129";"(82) 8834-1228";;"f.s_santos3@yahoo.com.br";"Adolescentes - Adultos - Idosos";;;"Masculino";"Voluntária";;
"Fazenda Vida Nova - Comunidade Kerygma";"Avenida";"Durval de Goes Monteiro";"S/N";"km 14 Br 104";"Tabuleiro dos Martins";"57061-000";"Alagoas";"Maceió - Alagoas";"-9,5775444017";"-35,7703005371";"(82) 9668-6490";;"fazendavidanova@hotmail.com";"Adolescentes";"Não";;"Masculino";"Compulsória";;
"Fazenda Vida Nova Comunidade Kerygma";"Rua";"Gilberto Vieira Leite";2;;"Tabuleiro";"57060-100";"Alagoas";"Maceió - Alagoas";"-9,6687007502";"-35,7430703309";"(82) 9980-6968";;"fazendavidanova@hotmail.com";"Crianças";"Não";;"Masculino";"Voluntária";;
"Associação Centro de Recuperação Social Desafio Jovem de Alagoas";"Avenida";"Brasil";1255;"loja C";"Poço";"57025-070";"Alagoas";"Maceió - Alagoas";"-9,6585860696";"-35,7116315781";"(82) 3033-7870";;"desafiojovemal@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação de Recuperação Social Desafio Jovem";"Rua";"Oceano Atlântico";"lote - 15";"BR AL 10 1- Norte - Chacara Camaragibe";"Ipioca";"57039-841";"Alagoas";"Maceió - Alagoas";"-9,5242815777";"-35,6021562713";"(82) 8807-0625";"(82) 8868-5992";"desafiojovemal@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Pastor Lindonjonson de Almeida";"Rua";"José Bonifácio";21;;"Tabuleiro do Pinto";"57000-100";"Alagoas";"Maceió - Alagoas";"-9,6594632967";"-35,7390830416";"(82) 3352-4446";"(82) 8839-8276";"projetosarar@hotmail.com";"Adolescentes";"Não";;"Feminino - Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória/ Fazenda Esperança Santa Terezinha";"Rua";"Marquês de Abrantes";"s/n";;"Bebedouro";"57017-601";"Alagoas";"Maceió - Alagoas";"-9,6195482";"-35,7538624";"(82) 9914-2111";"(82) 9914-3299";"marechaldeodoro.m@fazenda.org.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa do Servo Sofredor";"Rua";"Marquês de Abrantes";"s/n";;"Bebedouro";"57017-601";"Alagoas";"Maceió - Alagoas";"-9,6195482";"-35,7538624";"(82) 9914-2111";"(82) 9607-5859";"veramorim10@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Secretariado de Assistência Social Juvenópolis/ Casa Betânia";"Morro";"Loteamento Aracauã";"s/n";"Próximo a Conviver da Coca-Cola";"Cidade Universitária";"57017-601";"Alagoas";"Maceió - Alagoas";"-9,6241933545";"-35,7520649332";"(82) 8842-8789";"(82) 9914-2111";"casabetania.al@gmail.com";"Adolescentes - Adultos - Idosos";"Não";;"Feminino";"Voluntária";;
"Comunidade Terapêutica Nova Jericó";"Rua";"Boa Vontade";720;;"Levada";"57160-000";"Alagoas";"Maceió - Alagoas";"-9,6576684";"-35,7443374";"(82) 8812-5618";"(82) 8848-3220";"novajerico@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Catolica dos Emissarios de Jesus";"Chácara";"Jogador Adriano";"s/n";"Sitio São Jorge";"Estiva";"57160-000";"Alagoas";"Marechal Deodoro - Alagoas";"-9,719802029";"-35,9041264735";"(82) 8857-8688";"(82) 9162-2923";"aceje_@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Gloria - Fazenda Esperança Santa Teresinha";"Distrito";"Tuan Tupá";"s/n";;"Zona Rural";"57160-000";"Alagoas";"Marechal Deodoro - Alagoas";"-9,7191252395";"-35,9048131191";"(82) 8802-3882";"(82) 8802-3883";"walfran@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Divina Misericordia";"Chácara";"Cidade de Lima";"s/a";"lote - 12 Quadra - 01";"Povoado de Pedras";"57160-000";"Alagoas";"Marechal Deodoro - Alagoas";"-9,7204788172";"-35,903439828";"(82) 8821-5834";"(82) 8803-3698";"novajerico@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Divina Misericórdia - Comunidade Católica Nova Jericó (Comunidade Terapêutica Nova Jericó)";"Loteamento";"das Pedras";1;"quadra, lote 12";"Pedras";"56000-000";"Alagoas";"Marechal Deodoro - Alagoas";"-9,7238627374";"-35,9044697963";"(82) 8812-5618";;"novajerico@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória - Fazenda da Esperança Santa Teresinha";"Rodovia";"BR-101";"s/n";"km 10 - Povoado Saco";"Tucuanduba";"57160-000";"Alagoas";"Marechal Deodoro - Alagoas";"-9,7182792507";"-35,901809045";"(82) 9914-2111";"(82) 9914-3299";"marechaldeodoro.m@fazenda.org.br";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
"Fazenda para acolimernto de Dependentes Quimicos Divina Missericordia";"Sítio";"Amaro";"s/n";;"zona rural";"57601-100";"Alagoas";"Palmeira dos Índios - Alagoas";"-9,4210033865";"-36,6349849186";"(82) 9965-0202";;"ly_amorim@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"bom Samaritano";"Fazenda";"Boacica";"s/n";;"Zona Rural";"57200-000";"Alagoas";"Penedo - Alagoas";"-10,2905103446";"-36,5790667812";"(82) 3551-2235";"(82) 9942-0047";"casadobomsamaritanopenedo-al@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Bom Pastor - Comunidade Catolica Renascer";"Distrito";"Mangabeiro - Br - 316";"s/n";"ref entre cha do pilar e atalaia";"Cha do Pilar";"57100-990";"Alagoas";"Pilar - Alagoas";"-9,5497547627";"-35,9755228932";"(82) 8834-1228";"(82) 8863-8260";"f.s_santos3@yahoo.com.br";"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Obra Social Nossa Senhora da Glória - Fazenda da Esperança Nossa Senhora do Amparo";"Rodovia";"BR-316";"s/n";"km 65";"Zona Rural";"57510-970";"Alagoas";"Poço das Trincheiras - Alagoas";"-9,3264088677";"-37,2942317201";"(82) 9670-6867";"(82) 9999-3663";;"Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Associação Pastor Lindojonson";"Rua";"Jose Bonifacio";21;;"Tabuleiro do Pinto";"57100-000";"Alagoas";"Rio Largo - Alagoas";"-9,4831200997";"-35,8563910664";"(82) 3317-6284";"(82) 8839-8376";"projetosarar@hotmail.com";"Adultos";"Não";;"Feminino - Masculino";"Voluntária";;
"Fazenda de Acolhimento para Dependentes Quimicos Sagrada Familia";"Fazenda";"Boa Fortuna";"s/n";;"Loureiro de Albuquerque";"57100-000";"Alagoas";"Rio Largo - Alagoas";"-9,4817655732";"-35,8605109394";"(82) 8807-7985";;"sagrada_familia@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Paz e Vida";"Avenida";"Vera Cruz";4;;"Centro";"57240-000";"Alagoas";"São Miguel dos Campos - Alagoas";"-9,7827202358";"-36,0925161961";"(82) 3271-1548";"(82) 9308-0764";"compaki@hotmail.com";;;;;;;
"Comunidade Paz e Vida";"Fazenda";"Riachão";"entre Km 125 e Km 128";"Br 101";"Zona Rural";"57240-000";"Alagoas";"São Miguel dos Campos - Alagoas";"-9,7968188055";"-36,1096823338";"(82) 3271-1548";;"compazi@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Assistencia Social Betesda";"Loteamento";"Rui Palmeira";364;;"Centro";"57240-000";"Alagoas";"São Miguel dos Campos - Alagoas";"-9,780663814";"-36,1026442173";"(82) 8878-4518";"(82) 9143-8001";"y.mesquita@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Casa de restituição SHalon";"Rua";"Barão de Juquiá";185;;"Centro";"57240-970";"Alagoas";"São Miguel dos Campos - Alagoas";"-9,7826938037";"-36,0964644078";"(82) 9109-3066";"(82) 9122-7921";"shalon_restituicao@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Associação Social Betesda";"Avenida";"Clóvis Torres";362;;"loteamento Rui Palmeira";"10002-400";"Alagoas";"São Miguel dos Campos - Alagoas";"-9,8016838";"-36,1154666";"(82) 3271-1579";"(82) 8878-3990";;"Adultos";"Não";;"Masculino";"Voluntária";;
"Associação Crack Nem Pensar";"Loteamento";"campo loteamento Portal do Gregório";"Lote nº 1491";;"Lindóia";"57120-933";"Alagoas";"Satuba - Alagoas";"-9,5733843914";"-35,8254024741";"(82) 8825-2001";"(82) 8833-1882";"alexcosta1913@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Fazenda Rosa Mistica";"Fazenda";"Rosa Mistica";"s/n";"Zona Rural";"Fazenda Frios";"57800-970";"Alagoas";"União dos Palmares - Alagoas";"-9,1699685184";"-36,0239605563";"(82) 3281-1289";"(82) 9318-7030";"chacarar@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Masculina Lírio dos Vales";"Chácara";"Ramal Vicente Monteiro";"S/N";"Rodovia Municipal Via Vicinal Não Pavimentada";"Zona Rural";"68915-000";"Amapá";"Ferreira Gomes - Amapá";"0,8742519293";"-51,196991527";"(96) 9116-4785";"(96) 9144-0936";;"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Renascer";"Rua";"Independência";1718;;"Vitória do Renascer";"68907-203";"Amapá";"Macapá - Amapá";"0,0302712497";"-51,0566209093";"(96) 3225-6978";"(96) 9183-8508";"comunidadeterapeuticarenascer_ctr@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Masculina Lírio dos Vales";"Avenida";"Procópio Rola";1762;;"Santa Rita";"68900-010";"Amapá";"Macapá - Amapá";"0,0421238288";"-51,0627044665";"(96) 3224-3575";"(96) 9144-0936";"liriodosvalesap@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Antidrogas Pão do Céu";"Avenida";"Cônego Domingos Maltez";176;;"Trem";"68901-050";"Amapá";"Macapá - Amapá";"0,0287926712";"-51,0652135558";"(96) 9132-0952";"(96) 9169-1258";"centropaodoceu@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Renascer";"Fazenda";"Torrão do Matapi";680;"Rodovia BR 156- Macapá Laranjal do Jari- Km 21";"Zona Rural";"68900-000";"Amapá";"Macapá - Amapá";"0,017372863";"-51,050862255";"(96) 8116-4540";"(96) 9183-8508";"comunidadeterapeuticarenascer_ctr@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Recuperação Antidrogas Pão do Céu";"Sítio";"Ramal do Camaipi";"S/N";"Rodovia AP 156- Macapá- Laranjal do Jari- Km 79";"Zona Rural";"68940-000";"Amapá";"Mazagão - Amapá";"-0,1259222999";"-51,2875344998";"(96) 9132-0952";"(96) 9169-1258";"centropaodoceu@gmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Comunidade Terapêutica Monte Tabor";"Fazenda";"Monte Tabor";7000;"Rodovia BR 156 Km 64";"Zona Rural";"68997-000";"Amapá";"Porto Grande - Amapá";"0,7045874541";"-51,4052958465";"(96) 9123-4876";"(96) 4400-7811";"montetabor_ap@hotmail.com";"Adolescentes - Adultos - Idosos";"Sim";"Portadores de HIV/Pessoas com Deficiência Mental";" etc..";"Feminino - Masculino";"Voluntária";
"Fundação Casa de Resgaste";"Avenida";"Diamantino Ribeiro";338;;"Urugu";"69460-000";"Amazonas";"Coari - Amazonas";"-4,0322558773";"-63,1187390156";"(92) 9417-9537";;;"Adolescentes - Adultos - Idosos";"Não";;"Masculino";"Voluntária";;
"Associação Comunidade Terapêutica Nova Esperança";"Rua";"São Francisco";916918;;"São Francisco";"69000-800";"Amazonas";"Humaitá - Amazonas";"-7,5155878678";"-63,0327699941";"(97) 8106-4084";;;"Adolescentes";"Não";;"Masculino";"Voluntária";;
"Instituto Renascer";"Rodovia";"BR - 319";"S/N";"Km - 12";"Zona Rural";"69800-000";"Amazonas";"Humaitá - Amazonas";"-7,4699222562";"-63,0531225961";"(97) 9173-0731";"(97) 9155-9505";;"Adultos";"Não";;"Masculino";"Voluntária";;
"Pró-menor Dom Bosca";"Rua";"7 de abril";2;"Av. J";"Alvorada II";"69042-210";"Amazonas";"Manaus - Amazonas";"-3,0888003186";"-60,036338598";"(92) 9985-4031";"(92) 3238-0110";"anamelinag@hotmail.com";"Crianças - Adolescentes";"Não";;;;;
"Recuperando Vidas para Deus Revid";"Rua";"Vertente";3;;"Tarumã";"69022-420";"Amazonas";"Manaus - Amazonas";"-2,940690194";"-60,0583112542";"(92) 4101-8035";"(92) 9981-4775";"revid.jesus@hotmail.com";"Adultos";"Não";;"Masculino";"Voluntária";;
"Desafio Jovem de Manaus";"Rua";1;100;"Jardim Petropolis";"Petropolis";"69068-110";"Amazonas";"Manaus - Amazonas";"-3,1271959075";"-60,1571882074";"(92) 3663-8965";"(92) 9237-6850";"desafiojovem@desafiojovemmanaus.com.br";"Adultos";"Não";;"Masculino";"Voluntária";;
"Centro de Tratamento em Adicções Alccol e Drogas - CENTRAD";"Rua";"Estrada dos Japones";653;"Portal do Japão";"Parque des";"69054-672";"Amazonas";"Manaus - Amazonas";"-3,1271959075";"-60,1626813714";"(92) 3081-1192";"(92) 9135-7619";"centrad_soporhoje@hotmail.com";"Adolescentes - Adultos";"Não";;"Masculino";"Voluntária";;
